marca,modelo,bateria_kwh,wltp_km
BYD,Seagull 400,38.88,300
BYD,Seagull 300,30.08,220
BYD,Seagull Surf,43.2,322
BYD,Dolphin,44.9,340
BYD,Dolphin Plus,44.9,320
BYD,Yuan Pro GS,45.12,312
BYD,Yuan Pro GSX,45.12,312
BYD,Yuan Plus,60.48,420
BYD,T3 Van,44.9,240
BYD,Seal,61.44,460
BYD,Seal 4WD,82.56,520
BYD,Sealion 7,82.56,456
BYD,Tang,108.8,530
BYD,Song Plus EV GS, 71.8,404
DONGFENG,Nammi 330,31.4,230
DONGFENG,Nammi 430,42.3,310
DONGFENG,Vigo E2,44.94,300
DONGFENG,Vigo E2+,51.87,370
DONGFENG,Mage EV,50.82,320
GEELY,EX2,39.4,325
GEELY,EX5,60.22,430
GEELY,Geometry E,39.4,304
GEELY,Geometry C,70,485
RIDDARA,Eco 2WD,63,295
RIDDARA,Eco 4WD,73,312
RIDDARA,Luxury 4WD,86,402
RIDDARA,Horizon PRO,73,339
RIDDARA,Horizon ULTRA,86,364
GAC, Aion V, 75.3,510
GAC, Aion UT, 44,335
GAC, Aion UT Max,60,420
GAC, Aion ES, 55.2,354
GAC, Hyptec HT RWD,72.7,470
CHEVROLET, Spark EUV, 41.9,298
CHEVROLET, Captiva EV, 60,408
CHEVROLET, Equinox EV, 85,488
CHEVROLET, Blazer EV RS, 102,520
JMC, JMEV EV3, 31.9,302
JMEV,JMEV GSE Family,60,410
JMEV,JMEV GSE Luxury,60,390
JAC, ES1,30.2,270
JAC, Yterbby,41,275
GWM, Ora 03 GT, 59.1,420
GWM, Ora 03 Skin, 47.78,310
GWM, Ora 03 SR, 59.1,420
MG, MG4 Standard, 51,350
MG, MG4 Deluxe 2WD, 64,435
MG, MG4 Deluxe 4WD Xpower, 64, 385
MG, ZS EV Comfort, 50.3, 320
MG, ZS EV Deluxe, 50.3, 320
OMODA, E5 Comfort, 61, 450
OMODA, E5 Luxury, 61, 450
CHERY, EQ1, 30.8, 270
CHERY, EQ7, 67.12, 400
JAECOO, 5 EV Luxury, 58.9, 400
JAECOO, 6 EV Luxury 2WD, 65.69, 363
JAECOO, 6 EV Flagship 4WD, 69.77, 365
KIA,EV3 Standard Range,58.3,436
KIA,EV3 Long Range,81.4,604
KIA,EV5 64.2,64.2,400
KIA,EV5 88.1 2WD,88.1,555
KIA,EV5 88.1 AWD,88.1,500
JEEP,Avenger Summit,54,400
SMART,#1 Pure RWD,49,310
SMART,#1 Pro+ RWD,66,420
SMART,#1 Brabus AWD,66,400
SMART,#3 Pro RWD,49,325
SMART,#3 Pro+ RWD,66,415
SMART,#3 Brabus AWD,66,390MINI,Cooper E,40.7,305
MINI,Cooper E Classic,40.7,305
MINI,Cooper SE Favoured,54.2,400
MINI,John Cooper Works E,54.2,395
MINI,Aceman E Classic,40.7,310
MINI,Aceman SE Favoured,54.2,406
MINI,John Cooper Works Aceman E,54.2,395
MINI,Countryman E Classic Plus,64.6,460
MINI,Countryman E Favoured,64.6,440
MINI,Countryman SE ALL4 Favoured,64.6,430
BMW,i4 Gran Coupe eDrive40 M Sport Pro,83.9,590
BMW,i5 eDrive40 Sport,81.2,560
BMW,i5 eDrive40 M Sport,81.2,545
BMW,i7 M70 xDrive,105.7,490
BESTUNE,Xiaoma,13.9,105
BESTUNE,NAT Van,55,260
BESTUNE,NAT Luxury,55,260
BESTUNE,Joy 03 Exclusive Edition,48.35,290
BESTUNE,Joy 03 Premium Edition,61.47,360
DEEPAL,S5 BEV,56.12,380
DEEPAL,S7 BEV,79.97,520
LEAPMOTOR,T03 Luxury,41.3,310
LEAPMOTOR,B10,67.1,420
LEAPMOTOR,C10,69.9,460
LEAPMOTOR,C11,69.2,450
LEAPMOTOR,C16,67.7,440
LYNK & CO,02 Halo EV,66,430
MERCEDES BENZ,EQE 350+ Electric Art,90.6,610
MERCEDES BENZ,EQS 450+ Electric Art,108.4,720
MERCEDES BENZ,EQA 350 4MATIC,66.5,430
MERCEDES BENZ,EQB 350 4MATIC,66.5,410
MERCEDES BENZ,EQE SUV 350+ Electric Art,90.6,560
MERCEDES BENZ,G 580 AMG Line,116,470
MERCEDES BENZ,eSprinter 314,81,310
MERCEDES BENZ,eSprinter 414,81,300
MAXUS,Euniq 6,70,450
MAXUS,eTerron 9 Luxury AWD,102,380
MAXUS,eTerron 9 Premium AWD,102,380
MAXUS,eDeliver 3 SWB,53,250
MAXUS,eDeliver 3 Chasis,53,240
MAXUS,eDeliver 3 LWB,53,230
MAXUS,eDeliver 5 SWB L1H1,64,300
MAXUS,eDeliver 9 SWB L2H2,51.5,220
MAXUS,eDeliver 9 LWB L3H2,88.5,360
MAXUS,eDeliver 9 Chasis Cabina,65,280
MAXUS,eDeliver 9 Minibus L3H2,88.5,350
MAXUS,eDeliver 9 Minibus L3H3,88.5,340
FOTON,E Wonder Pick-Up,41.86,210
FOTON,E Wonder Box,41.86,210
FOTON,e-Tunland,88.5,350
FOTON,View EV Cargo Van,50.23,230
FOTON,e-Toano Pro,77,320



